City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
220,Khatanga,100,RU,2022-02-08 01:14:35,95,71.9667,102.5,-14.4,10.74
221,Victoria,100,HK,2022-02-08 01:12:40,87,22.2855,114.1577,63.25,8.99
222,La Rioja,7,ES,2022-02-08 01:14:36,93,42.25,-2.5,38.05,5.59
223,Nikolskoye,97,RU,2022-02-08 01:14:36,99,59.7035,30.7861,33.69,1.41
224,Saldanha,51,ZA,2022-02-08 01:14:37,97,-33.0117,17.9442,63.72,13.02
225,Nuevitas,5,CU,2022-02-08 01:14:37,73,21.5453,-77.2644,72.84,8.55
226,Planaltina,100,BR,2022-02-08 01:14:37,90,-15.4528,-47.6142,70.09,0.11
227,Shimoda,100,JP,2022-02-08 01:15:38,67,34.6667,138.95,46.76,3.87
228,Hammerfest,75,NO,2022-02-08 01:15:38,74,70.6634,23.6821,32.45,11.5
229,Glendive,0,US,2022-02-08 01:15:38,45,47.1053,-104.7125,49.17,17.27
230,Narsaq,87,GL,2022-02-08 01:15:39,55,60.9167,-46.05,8.82,20.36
231,Yerbogachen,94,RU,2022-02-08 01:15:39,100,61.2767,108.0108,-20.25,4.94
232,Barauna,11,BR,2022-02-08 01:15:39,73,-5.08,-37.6167,78.89,11.1
233,Ginir,83,ET,2022-02-08 01:15:40,59,7.1333,40.7,54.91,1.39
234,Porbandar,0,IN,2022-02-08 01:15:40,82,21.6422,69.6093,66.07,6.11
235,Aita Mare,100,RO,2022-02-08 01:15:40,96,45.9667,25.55,32.56,13.42
236,Comodoro Rivadavia,0,AR,2022-02-08 01:15:41,13,-45.8667,-67.5,87.66,14.97
237,Laguna,0,US,2022-02-08 01:15:42,44,38.421,-121.4238,71.44,3.44
238,Dwarka,0,IN,2022-02-08 01:15:42,77,22.2394,68.9678,68.74,6.55
239,Arosa,16,CH,2022-02-08 01:15:43,56,46.7779,9.6762,18.27,6.8
240,Lerwick,100,GB,2022-02-08 01:15:43,74,60.1545,-1.1494,44.6,29.17
241,Tecoanapa,74,MX,2022-02-08 01:15:43,71,16.5167,-98.75,79.21,7.72
242,Kirensk,100,RU,2022-02-08 01:15:44,96,57.7853,108.1119,0.46,6.33
243,Marsh Harbour,3,BS,2022-02-08 01:15:44,62,26.5412,-77.0636,74.26,5.99
244,Bontang,98,ID,2022-02-08 01:15:45,76,0.1333,117.5,80.83,8.3
245,Cherskiy,29,RU,2022-02-08 01:15:45,99,68.75,161.3,-32.17,2.93
246,Hay River,100,CA,2022-02-08 01:15:29,84,60.8156,-115.7999,-4.02,18.41
247,Norman Wells,75,CA,2022-02-08 01:15:45,63,65.282,-126.8329,-20.16,17.27
248,Anjozorobe,88,MG,2022-02-08 01:15:46,96,-18.4,47.8667,64.72,4.27
249,Paamiut,100,GL,2022-02-08 01:15:46,94,61.994,-49.6678,5.65,21.79
250,Sitka,100,US,2022-02-08 01:15:46,75,57.0531,-135.33,39.09,12.66
251,High Level,75,CA,2022-02-08 01:15:47,85,58.5169,-117.136,10.51,16.11
252,Meulaboh,100,ID,2022-02-08 01:15:47,81,4.1363,96.1285,77.0,3.87
253,Palmer,100,US,2022-02-08 01:15:47,87,42.1584,-72.3287,38.03,4.61
254,Juneau,100,US,2022-02-08 01:10:53,87,58.3019,-134.4197,39.22,12.66
255,Ambon,40,ID,2022-02-08 01:15:48,70,-3.6954,128.1814,86.14,4.61
256,Prince Rupert,100,CA,2022-02-08 01:15:07,81,54.3161,-130.3201,42.89,11.5
257,Talnakh,90,RU,2022-02-08 01:15:48,96,69.4865,88.3972,-19.44,9.28
258,Empangeni,4,ZA,2022-02-08 01:15:49,95,-28.762,31.8933,66.51,3.58
259,Necochea,0,AR,2022-02-08 01:15:49,80,-38.5473,-58.7368,59.04,7.56
260,Hof,73,DE,2022-02-08 01:15:49,86,50.3167,11.9167,34.79,13.8
261,Collingwood,90,CA,2022-02-08 01:14:44,84,44.4834,-80.2164,31.32,4.61
262,Bubaque,1,GW,2022-02-08 01:15:50,70,11.2833,-15.8333,77.05,9.71
263,Hervey Bay,1,AU,2022-02-08 01:15:50,68,-25.2986,152.8535,83.03,10.0
264,Botshabelo,66,ZA,2022-02-08 01:15:50,62,-29.2702,26.7052,60.17,1.97
265,Goderich,98,CA,2022-02-08 01:15:29,86,43.7501,-81.7165,29.55,10.36
266,Kawalu,89,ID,2022-02-08 01:15:51,75,-7.3817,108.2082,79.02,2.13
267,Puerto Ayacucho,100,VE,2022-02-08 01:15:51,84,5.6639,-67.6236,76.51,2.82
268,Taltal,10,CL,2022-02-08 01:15:18,73,-25.4,-70.4833,68.47,4.59
269,Buraydah,0,SA,2022-02-08 01:15:51,35,26.326,43.975,46.85,5.3
270,Aykhal,96,RU,2022-02-08 01:15:52,100,66.0,111.5,-33.59,7.85
271,Aswan,0,EG,2022-02-08 01:16:52,36,24.0934,32.907,57.87,9.8
272,Pangnirtung,100,CA,2022-02-08 01:16:53,96,66.1451,-65.7125,-20.07,5.39
273,Davila,95,PH,2022-02-08 01:16:53,69,18.4726,120.5763,80.58,8.19
274,Cabo San Lucas,0,MX,2022-02-08 01:16:25,58,22.8909,-109.9124,71.91,3.44
275,Bend,0,US,2022-02-08 01:16:54,32,44.0582,-121.3153,56.48,12.66
276,Naryan-Mar,99,RU,2022-02-08 01:16:54,93,67.6713,53.087,9.57,12.33
277,Nalvo,99,PH,2022-02-08 01:16:54,64,16.8096,120.5108,79.07,2.64
278,San Patricio,1,US,2022-02-08 01:16:08,48,28.017,-97.5169,60.91,8.48
279,Broome,0,US,2022-02-08 01:16:56,66,42.2506,-75.833,34.36,6.91
280,Xining,86,CN,2022-02-08 01:16:32,80,36.6167,101.7667,11.98,2.01
281,Guerrero Negro,0,MX,2022-02-08 01:15:38,30,27.9769,-114.0611,70.52,6.64
282,Phan Thiet,63,VN,2022-02-08 01:16:54,62,10.9333,108.1,81.37,6.85
283,Alofi,100,NU,2022-02-08 01:16:57,67,-19.0595,-169.9187,78.94,6.51
284,Chuy,6,UY,2022-02-08 01:16:57,83,-33.6971,-53.4616,62.47,7.96
285,Klyuchi,99,RU,2022-02-08 01:16:57,96,52.2667,79.1667,14.65,5.59
286,Nurota,100,UZ,2022-02-08 01:16:58,92,40.5614,65.6886,33.89,1.52
287,Vila Franca Do Campo,100,PT,2022-02-08 01:16:59,75,37.7167,-25.4333,61.2,8.05
288,Chapais,99,CA,2022-02-08 01:17:00,95,49.7834,-74.8492,10.18,7.43
289,Muros,8,ES,2022-02-08 01:17:00,84,42.7762,-9.0603,48.83,6.49
290,Ternate,87,ID,2022-02-08 01:17:01,74,0.8,127.4,81.88,2.53
291,Sorland,100,NO,2022-02-08 01:17:01,59,67.667,12.6934,37.78,24.63
292,George,75,ZA,2022-02-08 01:17:02,100,-33.963,22.4617,63.95,2.3
293,Kidal,0,ML,2022-02-08 01:17:03,10,18.4411,1.4078,64.98,9.55
294,Ouargaye,0,BF,2022-02-08 01:17:03,15,11.5033,0.0572,76.51,8.77
295,Inhambane,59,MZ,2022-02-08 01:17:04,86,-23.865,35.3833,75.25,10.89
296,Camacha,40,PT,2022-02-08 01:17:05,77,33.0833,-16.3333,58.42,11.5
297,Lavrentiya,0,RU,2022-02-08 01:17:05,65,65.5833,-171.0,-13.63,17.58
298,Hamilton,0,US,2022-02-08 01:16:33,72,39.1834,-84.5333,28.04,11.5
299,Clemencia,18,CO,2022-02-08 01:17:05,82,10.5665,-75.325,79.97,13.51
300,Maridi,100,SS,2022-02-08 01:17:06,23,4.9158,29.4742,66.7,3.53
301,Vardo,100,NO,2022-02-08 01:17:06,83,70.3705,31.1107,25.74,20.56
302,Tacuati,4,PY,2022-02-08 01:17:06,48,-23.45,-56.5833,66.51,2.73
303,Marsaxlokk,40,MT,2022-02-08 01:17:07,88,35.8419,14.5431,57.07,18.41
304,Benghazi,3,LY,2022-02-08 01:17:07,75,32.1167,20.0667,59.47,13.73
305,Abasolo,81,MX,2022-02-08 01:17:08,31,20.45,-101.5167,68.74,2.82
306,Kavieng,94,PG,2022-02-08 01:16:54,70,-2.5744,150.7967,84.79,7.18
307,Torbay,75,CA,2022-02-08 01:17:08,81,47.6666,-52.7314,21.58,12.66
308,Luwingu,100,ZM,2022-02-08 01:17:09,96,-10.2621,29.9271,61.02,3.44
309,Sao Filipe,6,CV,2022-02-08 01:14:24,76,14.8961,-24.4956,72.52,4.83
310,Nouadhibou,21,MR,2022-02-08 01:17:09,94,20.931,-17.0347,64.38,5.75
311,Marovoay,78,MG,2022-02-08 01:17:10,92,-16.1,46.6333,77.14,2.24
312,Okha,100,RU,2022-02-08 01:17:10,93,53.5739,142.9478,15.03,15.73
